"Barnacles" "Algae" "Mussels" "Rock" "T" "Wave"
51.12 17.94 10.08 39.33 21.5548387096774 1.64516129032258
54.43 22.53 15.49 29.87 21.2821428571429 1.85714285714286
49.36 28.18 17.92 33.04 21.1096774193548 1.37096774193548
50.66 43.98 17.55 31.65 20.2233333333333 1.79642857142857
55.09 47.36 9.67 35.45 18.3516129032258 1.08709677419355
51.59 42.94 7.2 40.7 16.9633333333333 1.03333333333333
59.62 43.05 4.25 35.78 15.6612903225806 1.25185185185185
76.96 38.84 2.49 20.75 15.041935483871 1.17857142857143
79.35 32.77 2 18.92 15.3266666666667 1.22
73.61 28.46 1.16 25.35 16.541935483871 1.15483870967742
74.37 22.06 1 24.57 17.7366666666667 1.41
67.86 18.13 0.08 31.06 18.3838709677419 0.951724137931034
62.78 15.24 0 37.25 19.5032258064516 1.26206896551724
74.8 15.54 0 25.08 20.2827586206897 0.972413793103448
76.88 20.21 0 23.22 20.8903225806452 1.28148148148148
79.33 23.81 0 20.67 19.8433333333333 1.27666666666667
78.74 26.75 0 21.27 18.0290322580645 1.3
78.99 34.16 0 20.8 15.9266666666667 1.27
83.77 42.34 0 16.42 14.8612903225806 2.14193548387097
86.01 53.41 0 14.43 14.5258064516129 1.25483870967742
83.59 55 0 16.77 14.8666666666667 1.01666666666667
86.6 56.09 0 13.3 15.1709677419355 0.958064516129032
85.61 54.13 0 14.43 16.1733333333333 1.13
85.02 53.58 0 15.1 18.5612903225806 1.3
86.11 53.23 0 13.89 19.4516129032258 0.974193548387097
89.49 51.36 0 10.51 20.475 1.476
85.33 45.24 0 14.68 20.7806451612903 1.62857142857143
88.29 45.45 0 11.65 19.4933333333333 1.51153846153846
90.64 44.14 0 9.22 18.0774193548387 1.52903225806452
92.12 45.64 0 7.15 15.7566666666667 1.01
94 39.59 0 6.01 14.3193548387097 1.44333333333333
94.07 26.3 0 6.09 14.1225806451613 1.24838709677419
89.14 19.49 0 10.72 14.64 1.32857142857143
84.41 16.02 0 15.52 16.258064516129 1.23225806451613
88.92 11.1 0 11.11 16.94 1.2551724137931
84.07 5.07 0 15.91 19.0193548387097 1.57666666666667
87.54 1.95 0 12.74 19.5451612903226 1.20322580645161
92.96 1.86 0 7 20.65 1.17928571428571
90.96 1.22 0 9.01 20.458064516129 1.49333333333333
89.42 0.61 0 10.66 19.1533333333333 1.36333333333333
92.81 2.7 0 6.96 17.7967741935484 1.06129032258065
94.85 22.5 0 4.97 15.9266666666667 1.11
94.85 47.37 0.55 4.56 14.5967741935484 1.35483870967742
91.79 57.78 3.55 5.18 14.0258064516129 0.916129032258065
92.88 60.1 3 4.96 14.5233333333333 0.95
89.43 68.04 6.38 4.1 15.0161290322581 0.709677419354839
